StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q6,Q7,mTurkCode
2018-05-14 17:12:31,2018-05-14 17:20:36,IP Address,5.147.12.63,100,485,True,2018-05-14 17:20:36,R_aY1g3HV8vHSY9Tb,,,,,51.460205078125,7.0438995361328,anonymous,EN,Rejection,My creativity,26,Germany,5
2018-05-14 17:31:15,2018-05-14 17:31:36,IP Address,73.206.26.26,100,20,True,2018-05-14 17:31:36,R_10HovxLcwp9xSOt,,,,,29.628295898438,-95.562400817871,anonymous,EN,Death,Love,39,Texas,7
2018-05-14 17:33:17,2018-05-14 17:34:14,IP Address,99.242.103.48,100,57,True,2018-05-14 17:34:14,R_2bWxBM4UPzn8Rzv,,,,,45.256301879883,-65.943199157715,anonymous,EN,being poor,playing with my son,36,Canada,4
2018-05-14 17:43:50,2018-05-14 17:44:46,IP Address,107.9.164.42,100,56,True,2018-05-14 17:44:47,R_3rS7mohjqeNdCu7,,,,,41.032897949219,-81.061599731445,anonymous,EN,Dying,My children and grandchildren,42,Ohio,1
2018-05-14 17:40:18,2018-05-14 17:44:55,IP Address,66.230.104.204,100,277,True,2018-05-14 17:44:55,R_3Ma6FZnHB5pSSY8,,,,,61.159393310547,-149.88650512695,anonymous,EN,My greatest fear would be my family members passing away. I'm really afraid of this eventuality.,"My greatest joy is seeing my family happy. After that, listening to music.",23,Alaska,3
2018-05-14 17:46:19,2018-05-14 17:46:46,IP Address,24.177.221.234,100,27,True,2018-05-14 17:46:47,R_2rCq8v2UN1pCiWN,,,,,43.863098144531,-91.262100219727,anonymous,EN,Death,Nature,31,Wisconsin,7
2018-05-14 17:48:56,2018-05-14 17:49:18,IP Address,72.216.34.186,100,22,True,2018-05-14 17:49:18,R_3nr55349BQLvci7,,,,,30.451995849609,-86.629203796387,anonymous,EN,losing them,my children,28,Florida,6
2018-05-14 17:50:05,2018-05-14 17:50:26,IP Address,72.216.34.186,100,20,True,2018-05-14 17:50:26,R_1QmwIeOZn7UbRXt,,,,,30.451995849609,-86.629203796387,anonymous,EN,losing them,children,28,Florida,8
2018-05-14 17:57:41,2018-05-14 17:58:14,IP Address,96.241.71.127,100,32,True,2018-05-14 17:58:14,R_ZC73vRYfu0uTOCZ,,,,,38.98420715332,-77.084197998047,anonymous,EN,Being alone and not missed,Spending time with my brother,23,"Maryland, USA",9
2018-05-14 18:12:37,2018-05-14 18:12:58,IP Address,73.171.243.54,100,21,True,2018-05-14 18:12:58,R_2qwu9dvDtW2Lp8C,,,,,30.279296875,-81.585098266602,anonymous,EN,failure,food,24,fl,8
2018-05-14 18:21:43,2018-05-14 18:22:15,IP Address,98.209.241.208,100,32,True,2018-05-14 18:22:15,R_2cvVzp6mFtRwzhg,,,,,42.375595092773,-83.108497619629,anonymous,EN,Failure,Being with friends/family,20,Michigan,6
2018-05-14 18:31:46,2018-05-14 18:32:38,IP Address,70.127.105.46,100,51,True,2018-05-14 18:32:38,R_3HLCcIk6olLbF0e,,,,,27.937896728516,-82.236396789551,anonymous,EN,closed spaces,working with animals,59,"Florida, US",1
2018-05-14 18:48:06,2018-05-14 18:48:42,IP Address,204.210.205.29,100,35,True,2018-05-14 18:48:42,R_1CjueIAQFYuQjC9,,,,,41.38639831543,-81.30419921875,anonymous,EN,"Vampires ",Masturbation,33,Texas,1
2018-05-14 18:53:38,2018-05-14 18:54:38,IP Address,204.195.120.12,100,59,True,2018-05-14 18:54:38,R_qDQxUNRNCbYrjLH,,,,,45.136901855469,-122.8224029541,anonymous,EN,"My children dying ","My children ",25,Oregon,2
2018-05-14 19:00:45,2018-05-14 19:02:47,IP Address,12.51.14.210,100,122,True,2018-05-14 19:02:47,R_3Jw2Im44xdpT60X,,,,,32.684692382812,-97.780799865723,anonymous,EN,"Not having enough money to live on when I'm old and having to work till I die. ","Those days, hours, minutes when I have nothing pending to deal with ... nothing to worry about... when there are no issues PENDING. ",52,Texas,5
2018-05-14 19:05:05,2018-05-14 19:06:01,IP Address,73.200.140.101,100,55,True,2018-05-14 19:06:01,R_1OKdCtbkpOsJeYL,,,,,39.411697387695,-77.270401000977,anonymous,EN,sharks,acceptance,25,maryland,5
2018-05-14 19:15:00,2018-05-14 19:15:37,IP Address,50.88.235.207,100,36,True,2018-05-14 19:15:37,R_2OIJuy17j4MSLkD,,,,,28.665298461914,-81.418800354004,anonymous,EN,people,My service dog,36,Florida,6
2018-05-14 19:14:06,2018-05-14 19:17:07,IP Address,93.228.242.93,100,180,True,2018-05-14 19:17:07,R_1nV2Oaq4fdCFrcT,,,,,52.244003295898,8.0612945556641,anonymous,EN,mental retardation,music,21,Germany,8
2018-05-14 19:26:48,2018-05-14 19:27:35,IP Address,73.190.178.7,100,46,True,2018-05-14 19:27:35,R_1eVItLdLxqLivCq,,,,,35.972396850586,-84.290397644043,anonymous,EN,living,solitude,37,Tennessee,7
2018-05-14 19:27:15,2018-05-14 19:27:42,IP Address,69.181.170.218,100,27,True,2018-05-14 19:27:43,R_yq1zWojRjLT9bjj,,,,,37.35009765625,-121.98539733887,anonymous,EN,life,son,38,CA,7
2018-05-14 19:42:46,2018-05-14 19:43:13,IP Address,155.186.132.206,100,26,True,2018-05-14 19:43:13,R_1IuvDhtsKhghHzf,,,,,33.940994262695,-83.434097290039,anonymous,EN,death,love,54,Georgia,5
2018-05-14 19:50:29,2018-05-14 19:51:40,IP Address,162.199.149.162,100,71,True,2018-05-14 19:51:41,R_31d6QQIal5E1dO9,,,,,43.074996948242,-89.459297180176,anonymous,EN,Losing a family member,Raising my daughter,52,Wisconsin,8
2018-05-14 20:01:49,2018-05-14 20:02:25,IP Address,76.6.85.34,100,35,True,2018-05-14 20:02:25,R_21dmr9ULpGDBcTL,,,,,32.256805419922,-96.08219909668,anonymous,EN,Losing my family,My Children,40,Texas,4
2018-05-14 20:08:25,2018-05-14 20:09:02,IP Address,73.185.13.192,100,36,True,2018-05-14 20:09:02,R_2cusbfIErZ2FXEe,,,,,38.672897338867,-121.14880371094,anonymous,EN,Being alone,Gaming,29,"California ",9
2018-05-14 20:09:41,2018-05-14 20:10:49,IP Address,73.60.84.44,100,67,True,2018-05-14 20:10:49,R_1Gvtrz4AvxRBNIQ,,,,,42.51530456543,-70.907501220703,anonymous,EN,That I'm as shitty as I feel,My infant daughter,39,Massachusetts,5
2018-05-14 20:13:25,2018-05-14 20:14:11,IP Address,97.93.107.32,100,45,True,2018-05-14 20:14:11,R_1pMeHeIXIh23NTs,,,,,34.069900512695,-117.9421005249,anonymous,EN,the future,my husband,43,United States California,5
2018-05-14 15:16:11,2018-05-14 15:16:37,IP Address,122.174.155.104,50,26,False,2018-05-17 15:16:50,R_bCRBEnP9e0ZtWY9,,,,,,,anonymous,EN,SPIDER,BEER,,,6
